cikis_id,istasyon_adi,hat_kodu,hat_rengi,cikis_no,koordinat,cikis_adi
sancaktepe_M5_1,Sancaktepe,M5,#9B59B6,1,POINT(29.2286199 40.9926514),Sancaktepe Belediyesi - RTE Kongre Merkezi
sarigazi_M5_1,Sarıgazi,M5,#9B59B6,1,POINT(29.2124648 41.0101312),Atatürk Cd. - T.C. Sancaktepe Kaymakamlığı
yamanevler_M5_1,Yamanevler,M5,#9B59B6,1,POINT(29.1092649 41.0242837),
yamanevler_M5_2,Yamanevler,M5,#9B59B6,2,POINT(29.1070801 41.0244798),
cakmak_M5_1,Çakmak,M5,#9B59B6,1,POINT(29.1192156 41.0213895),
cakmak_M5_2,Çakmak,M5,#9B59B6,2,POINT(29.1177932 41.0218015),
carsi_M5_1,Çarşı,M5,#9B59B6,1,POINT(29.0972238 41.0259729),
carsi_M5_2,Çarşı,M5,#9B59B6,2,POINT(29.0966512 41.0260634),
carsi_M5_3,Çarşı,M5,#9B59B6,3,POINT(29.0964707 41.0262534),
cekmekoy_M5_1,Çekmeköy,M5,#9B59B6,1,POINT(29.189942 41.0145218),
cekmekoy_M5_2,Çekmeköy,M5,#9B59B6,2,POINT(29.1890843 41.0146072),
umraniye_M5_1,Ümraniye,M5,#9B59B6,1,POINT(29.0850845 41.0247147),
umraniye_M5_2,Ümraniye,M5,#9B59B6,2,POINT(29.0843423 41.0251405),
uskudar_M5_1,Üsküdar,M5,#9B59B6,1,POINT(29.0140049 41.0256074),
uskudar_M5_2,Üsküdar,M5,#9B59B6,2,POINT(29.0128046 41.0253734),
uskudar_M5_3,Üsküdar,M5,#9B59B6,3,POINT(29.0125922 41.025343),
uskudar_M5_4,Üsküdar,M5,#9B59B6,4,POINT(29.0116056 41.0251789),
boğaziçi_üniversitesi_m6_boğaziçi_üniversitesi,Boğaziçi Üniversitesi,M6,#F5A623,,POINT(29.0455614 41.0850858),
etiler_m6__,Etiler,M6,#F5A623,,POINT(29.0378431 41.0823298),
nispetiye_m6__,Nispetiye,M6,#F5A623,,POINT(29.0237071 41.0774646),
alibeykoy_M7_1,Alibeyköy,M7,#F29EBF,1,POINT(28.9507542 41.0790602),
alibeykoy_M7_2,Alibeyköy,M7,#F29EBF,2,POINT(28.9484598 41.079225),
fulya_M7_1,Fulya,M7,#F29EBF,1,POINT(29.0070784 41.0618931),
fulya_M7_2,Fulya,M7,#F29EBF,2,POINT(29.0068381 41.0625306),Gayrettepe Mah.
goztepe_M7_1,Göztepe,M7,#F29EBF,1,POINT(28.8486353 41.0573147),
goztepe_M7_2,Göztepe,M7,#F29EBF,2,POINT(28.8499236 41.0566856),
goztepe_M7_3,Göztepe,M7,#F29EBF,3,POINT(28.8471525 41.0564223),
goztepe_M7_4,Göztepe,M7,#F29EBF,4,POINT(28.8462902 41.0571083),
karadeniz_mahallesi_M7_1,Karadeniz Mahallesi,M7,#F29EBF,1,POINT(28.8750225 41.0812567),
karadeniz_mahallesi_M7_2,Karadeniz Mahallesi,M7,#F29EBF,2,POINT(28.8766446 41.0816886),
karadeniz_mahallesi_M7_3,Karadeniz Mahallesi,M7,#F29EBF,3,POINT(28.8758474 41.0803305),Viaport Venezia
karadeniz_mahallesi_M7_4,Karadeniz Mahallesi,M7,#F29EBF,4,POINT(28.8755302 41.0799371),Metris Cezaevi
karadeniz_mahallesi_M7_5,Karadeniz Mahallesi,M7,#F29EBF,5,POINT(28.8749893 41.0809351),T4 Tramvay
kazim_karabekir_M7_1,Kazım Karabekir,M7,#F29EBF,1,POINT(28.910417 41.0848979),
kazim_karabekir_M7_2,Kazım Karabekir,M7,#F29EBF,2,POINT(28.9100792 41.0845418),
kazim_karabekir_M7_3,Kazım Karabekir,M7,#F29EBF,3,POINT(28.9067169 41.085193),
kazim_karabekir_M7_4,Kazım Karabekir,M7,#F29EBF,4,POINT(28.9067327 41.0855471),
kagithane_M7_1,Kağıthane,M7,#F29EBF,1,POINT(28.9743671 41.0792152),
kagithane_M7_2,Kağıthane,M7,#F29EBF,2,POINT(28.9723207 41.0799341),
mecidiyekoy_M7_1,Mecidiyeköy,M7,#F29EBF,1,POINT(28.9930362 41.0662404),Metrobüs Bağlantısı
mecidiyekoy_M7_2,Mecidiyeköy,M7,#F29EBF,2,POINT(28.9946389 41.0661818),"Meydan, Büyükdere Caddesi"
mecidiyekoy_M7_3,Mecidiyeköy,M7,#F29EBF,3,POINT(28.9955221 41.0660518),Ortaklar Caddesi
mecidiyekoy_M7_5,Mecidiyeköy,M7,#F29EBF,5,POINT(28.9966374 41.0656074),Garaj Sokak
mecidiyekoy_M7_6,Mecidiyeköy,M7,#F29EBF,6,POINT(28.9972083 41.0648966),İtfaiye
nurtepe_M7_1,Nurtepe,M7,#F29EBF,1,POINT(28.9649662 41.0803155),
nurtepe_M7_2,Nurtepe,M7,#F29EBF,2,POINT(28.9632579 41.0800041),
nurtepe_M7_3,Nurtepe,M7,#F29EBF,3,POINT(28.9628279 41.0794238),
oruc_reis___yuzyil_M7_1,Oruç Reis - Yüzyıl,M7,#F29EBF,1,POINT(28.8558912 41.0636188),
oruc_reis___yuzyil_M7_2,Oruç Reis - Yüzyıl,M7,#F29EBF,2,POINT(28.8545768 41.060664),
tekstilkent___giyimkent_M7_1,Tekstilkent - Giyimkent,M7,#F29EBF,1,POINT(28.8675198 41.0716122),
tekstilkent___giyimkent_M7_2,Tekstilkent - Giyimkent,M7,#F29EBF,2,POINT(28.8684281 41.0717983),
tekstilkent___giyimkent_M7_3,Tekstilkent - Giyimkent,M7,#F29EBF,3,POINT(28.8660956 41.0700817),
veysel_karani_M7_1,Veysel Karani,M7,#F29EBF,1,POINT(28.929003 41.0799109),
veysel_karani_M7_2,Veysel Karani,M7,#F29EBF,2,POINT(28.9296519 41.0797297),
veysel_karani_M7_3,Veysel Karani,M7,#F29EBF,3,POINT(28.9277822 41.0794146),
veysel_karani_M7_4,Veysel Karani,M7,#F29EBF,4,POINT(28.9269975 41.079742),
yenimahalle_M7_1,Yenimahalle,M7,#F29EBF,1,POINT(28.8935465 41.0836861),
yenimahalle_metro_M7_2,Yenimahalle Metro,M7,#F29EBF,2,POINT(28.8921285 41.0841569),
yesilpinar_M7_2,Yeşilpınar,M7,#F29EBF,2,POINT(28.9193863 41.0819716),
yesilpinar_M7_3,Yeşilpınar,M7,#F29EBF,3,POINT(28.9160808 41.0823748),
yildiz_M7_2,Yıldız,M7,#F29EBF,2,POINT(29.0097462 41.0551662),
yildiz_M7_3,Yıldız,M7,#F29EBF,3,POINT(29.008306 41.0523992),
caglayan_M7_1,Çağlayan,M7,#F29EBF,1,POINT(28.9825864 41.0694632),
caglayan_M7_2,Çağlayan,M7,#F29EBF,2,POINT(28.9801611 41.0710416),
caglayan_M7_3,Çağlayan,M7,#F29EBF,3,POINT(28.9792709 41.0712118),
circir_M7_1,Çırçır,M7,#F29EBF,1,POINT(28.9375434 41.0799767),
circir_M7_2,Çırçır,M7,#F29EBF,2,POINT(28.9360336 41.0803656),
circir_M7_3,Çırçır,M7,#F29EBF,3,POINT(28.935183 41.0800259),
aysekadin_M8_1,Ayşekadın,M8,#3F7ABC,1,POINT(29.0865187 40.9673983),
aysekadin_M8_2,Ayşekadın,M8,#3F7ABC,2,POINT(29.0869634 40.9662301),
bostanci_M8_1,Bostancı,M8,#3F7ABC,1,POINT(29.0961284 40.9526854),Bağdat Cd.
bostanci_M8_2,Bostancı,M8,#3F7ABC,2,POINT(29.0965616 40.9515484),İskele
bostanci_M8_3,Bostancı,M8,#3F7ABC,3,POINT(29.0978232 40.9518894),Altıntepe
emin_ali_pasa_M8_1,Emin Ali Paşa,M8,#3F7ABC,1,POINT(29.0941908 40.959875),
emin_ali_pasa_M8_2,Emin Ali Paşa,M8,#3F7ABC,2,POINT(29.0931575 40.9612597),
huzur_M8_1,Huzur,M8,#3F7ABC,1,POINT(29.159735 41.0228293),
huzur_M8_2,Huzur,M8,#3F7ABC,2,POINT(29.159242 41.0219775),
i_mes_M8_1,İmes,M8,#3F7ABC,1,POINT(29.1561392 41.0010387),
i_mes_M8_2,İmes,M8,#3F7ABC,2,POINT(29.1556438 40.9996187),
i_cerenkoy_M8_1,İçerenköy,M8,#3F7ABC,1,POINT(29.1269119 40.9797491),
i_cerenkoy_M8_2,İçerenköy,M8,#3F7ABC,2,POINT(29.1269594 40.9789095),
i_cerenkoy_M8_3,İçerenköy,M8,#3F7ABC,3,POINT(29.1257512 40.9788956),
kayisdagi_M8_1,Kayışdağı,M8,#3F7ABC,1,POINT(29.1369992 40.9843839),
kayisdagi_M8_2,Kayışdağı,M8,#3F7ABC,2,POINT(29.1380272 40.9854762),
kucukbakkalkoy_M8_1,Küçükbakkalköy,M8,#3F7ABC,1,POINT(29.1118203 40.979104),
kucukbakkalkoy_M8_2,Küçükbakkalköy,M8,#3F7ABC,2,POINT(29.1117673 40.9787375),
mevlana_M8_1,Mevlana,M8,#3F7ABC,1,POINT(29.1527742 40.992504),
mevlana_M8_2,Mevlana,M8,#3F7ABC,2,POINT(29.1532907 40.9922558),
mevlana_M8_3,Mevlana,M8,#3F7ABC,3,POINT(29.154123 40.9917343),
modoko___keyap_M8_1,Modoko - Keyap,M8,#3F7ABC,1,POINT(29.1612731 41.0072158),
modoko___keyap_M8_2,Modoko - Keyap,M8,#3F7ABC,2,POINT(29.1621992 41.0072129),
parseller_M8_1,Parseller,M8,#3F7ABC,1,POINT(29.1528039 41.0314122),
parseller_M8_2,Parseller,M8,#3F7ABC,2,POINT(29.1526962 41.0307616),
pegasus_kozyatagi_M8_1,Pegasus Kozyatağı,M8,#3F7ABC,1,POINT(29.099005 40.9775767),
15_temmuz_m9_1,15 Temmuz,M9,#FFD300,1,POINT(28.8141399 41.036806),
29_ekim___cumhuriyet_m9_1,29 Ekim - Cumhuriyet,M9,#FFD300,1,POINT(28.8189217 41.0056639),
ataköy_m9_2,Ataköy,M9,#FFD300,2,POINT(28.8559535 40.9800079),
ataköy_m9_1,Ataköy,M9,#FFD300,1,POINT(28.8564842 40.9798404),
atatürk_mahallesi_m9_2,Atatürk Mahallesi,M9,#FFD300,2,POINT(28.7986625 41.0526781),
atatürk_mahallesi_m9_1,Atatürk Mahallesi,M9,#FFD300,1,POINT(28.7986249 41.0518637),
bahariye_m9_1,Bahariye,M9,#FFD300,1,POINT(28.7993363 41.0584657),
doğu_sanayi_m9_1,Doğu Sanayi,M9,#FFD300,1,POINT(28.8179361 41.0150275),
halkalı_caddesi_m9_4,Halkalı Caddesi,M9,#FFD300,4,POINT(28.8039221 41.0458592),
halkalı_caddesi_m9_3,Halkalı Caddesi,M9,#FFD300,3,POINT(28.8107567 41.0449694),
halkalı_caddesi_m9_1,Halkalı Caddesi,M9,#FFD300,1,POINT(28.8116998 41.0463591),
masko_m9_2,MASKO,M9,#FFD300,2,POINT(28.8049815 41.064064),Hilton Hotel
mimar_sinan_m9_1,Mimar Sinan,M9,#FFD300,1,POINT(28.816342 41.0249406),
yenibosna_m9_1,Yenibosna,M9,#FFD300,1,POINT(28.8372081 40.9905193),
yenibosna_m9_2,Yenibosna,M9,#FFD300,2,POINT(28.8386849 40.9891067),
çobançeşme_m9_1,Çobançeşme,M9,#FFD300,1,POINT(28.8228138 40.9997244),
arnavutkoy_hastane_M11_x,Arnavutköy Hastane,M11,#A85A94,,POINT(28.7485822 41.1785117),Şehir Parkı
arnavutkoy_hastane_M11_x_1,Arnavutköy Hastane,M11,#A85A94,,POINT(28.7469537 41.1803336),Arnavutköy Camii
gayrettepe_M11_1,Gayrettepe,M11,#A85A94,1,POINT(29.0116807 41.0662731),
gayrettepe_M11_2,Gayrettepe,M11,#A85A94,2,POINT(29.0103441 41.0664794),
gokturk_M11_1,Göktürk,M11,#A85A94,1,POINT(28.8848511 41.1775312),
i_hsaniye_M11_1,İhsaniye,M11,#A85A94,1,POINT(28.8082395 41.2432922),
i_stanbul_havalimani_M11_1,İstanbul Havalimanı,M11,#A85A94,1,POINT(28.7432027 41.2561494),
i_stanbul_havalimani_M11_2,İstanbul Havalimanı,M11,#A85A94,2,POINT(28.7419704 41.2561373),
kargo_terminali_M11_1,Kargo Terminali,M11,#A85A94,1,POINT(28.713393 41.2556448),
kagithane_M11_1,Kağıthane,M11,#A85A94,1,POINT(28.9758727 41.080413),
kemerburgaz_M11_1,Kemerburgaz,M11,#A85A94,1,POINT(28.9105102 41.1587712),
tasoluk_M11_1,Taşoluk,M11,#A85A94,1,POINT(28.7163608 41.2058124),
tasoluk_M11_2,Taşoluk,M11,#A85A94,2,POINT(28.7160628 41.2074814),
universite___hasdal_M11_1,Üniversite - Hasdal,M11,#A85A94,1,POINT(28.947188 41.1208272),
universite__hasdal_M11_2,Üniversite- Hasdal,M11,#A85A94,2,POINT(28.9469979 41.1217405),
ataköy_b1_1,Ataköy,B1,#66656A,1,POINT(28.8562447 40.9804594),
bostanci_B1_x,Bostancı,B1,#66656A,,POINT(29.0956204 40.9534098),Bostancı Sahil (İskele)
bostanci_B1_x_1,Bostancı,B1,#66656A,,POINT(29.0958466 40.9537942),Üst Bostancı
bostanci_B1_x_2,Bostancı,B1,#66656A,,POINT(29.0940139 40.9543943),Minibüs Yolu
yenikapi_B1_x,Yenikapı,B1,#66656A,,POINT(28.9505564 41.0050945),Namık Kemal Caddesi
yenikapi_B1_x_1,Yenikapı,B1,#66656A,,POINT(28.9524314 41.0055059),Aksaray
uskudar_B1_Hakimiyet-i Milliye,Üsküdar,B1,#66656A,Hakimiyet-i Milliye,POINT(29.0150486 41.0255416),Hakimiyet-i Milliye
uskudar_B1_Harem Çıkışı,Üsküdar,B1,#66656A,,POINT(29.0129252 41.0257067),Harem Çıkışı
uskudar_B1_Vapur İskelesi,Üsküdar,B1,#66656A,,POINT(29.0147969 41.0263342),
uskudar_B1_Üsküdar Meydan,Üsküdar,B1,#66656A,,POINT(29.0136629 41.0258084),
uskudar_B1_Üsküdar Meydan Çıkışı,Üsküdar,B1,#66656A,,POINT(29.0134996 41.0257827),Üsküdar Meydan Çıkışı
ali_fuat_başgil_t4_a,Ali Fuat Başgil,T4,#FF6B35,,POINT(28.8961452 41.0680856),
ali_fuat_başgil_t4_b,Ali Fuat Başgil,T4,#FF6B35,,POINT(28.8950379 41.0689027),
karadeniz_mahallesi_t4_a,Karadeniz Mahallesi,T4,#FF6B35,,POINT(28.8831312 41.0749506),
karadeniz_mahallesi_t4_b,Karadeniz Mahallesi,T4,#FF6B35,,POINT(28.8817481 41.0754807),
rami_t4_a,Rami,T4,#FF6B35,,POINT(28.9159468 41.046003),
rami_t4_b,Rami,T4,#FF6B35,,POINT(28.9152293 41.0470799),
taşköprü_t4_a,Taşköprü,T4,#FF6B35,,POINT(28.8882911 41.0722177),
taşköprü_t4_b,Taşköprü,T4,#FF6B35,,POINT(28.8871713 41.0729584),
topçular_t4_a,Topçular,T4,#FF6B35,,POINT(28.9201803 41.0411559),
topçular_t4_b,Topçular,T4,#FF6B35,,POINT(28.9190201 41.0419984),
uluyol___bereç_t4_a,Uluyol - Bereç,T4,#FF6B35,,POINT(28.9105256 41.0535171),
uluyol___bereç_t4_b,Uluyol - Bereç,T4,#FF6B35,,POINT(28.9100076 41.0546385),
